match_id,team_id,team_name,team,win,total_kills,total_deaths,avg_gpm,avg_xpm,players,synergy_score,activity,recent_winrate
8786596310,10116131,Elite Eclipse,radiant,0,39,66,528.2,826.4,"[800862190, 906511622, 1029972951, 1056145299, 1591533176]",0.0,0,0.0
8786596310,9628721,Teiko,dire,1,65,40,602.0,932.4,"[236214375, 878549965, 1739519173, 1771146737, 1914262504]",0.0,0,0.0
8786615374,2443375,Foxy gaming,radiant,0,28,34,432.2,621.2,"[80599925, 181339278, 301477244, 1045494300, 1103355581]",0.0,0,0.0
8786615374,9768002,Lunar Vibes,dire,1,34,29,512.4,772.2,"[808766025, 1749799475, 1750299292, 1750510331, 1750623235]",0.0,0,0.0
8786624215,9425656,LSG,radiant,1,36,14,535.4,860.6,"[397206052, 1621422877, 1621497616, 1621570409, 1622405666]",0.0,0,0.0
8786624215,8629005,Flawless Goblins,dire,0,14,36,451.6,593.6,"[928499811, 1185918470, 1200963940, 1227183303, 1228355759]",0.0,0,0.0
8786645011,9768002,Lunar Vibes,radiant,1,31,26,547.4,826.0,"[808766025, 1749799475, 1750299292, 1750510331, 1750623235]",0.9079441541679836,1,1.0
8786645011,2443375,Foxy gaming,dire,0,26,31,431.2,596.2,"[80599925, 181339278, 301477244, 1045494300, 1103355581]",0.6079441541679836,1,0.0
8786656148,9878494,LV United,radiant,0,21,25,441.4,557.0,"[1902237853, 1902895053, 1903247233, 1903997264, 1904129499]",0.0,0,0.0
8786656148,9768243,Night Force,dire,1,25,21,547.8,700.6,"[1879746018, 1880007196, 1880011613, 1880066287, 1880979563]",0.0,0,0.0
8786675600,10116131,Elite Eclipse,radiant,1,59,27,575.4,772.2,"[800862190, 906511622, 1029972951, 1056145299, 1591533176]",0.6079441541679836,1,0.0
8786675600,9628721,Teiko,dire,0,26,60,468.8,593.2,"[236214375, 878549965, 1771146737, 1868210186, 1914262504]",0.8279441541679837,1,1.0
8786682055,9767998,Nova Pulse,radiant,0,16,23,431.4,543.0,"[1749630639, 1750248703, 1750435217, 1750577069, 1750916329]",0.0,0,0.0
8786682055,9426115,Dark Rebellion,dire,1,23,16,532.0,684.8,"[176158708, 183270733, 412910858, 1068676453, 1090568489]",0.0,0,0.0
8786687108,9768243,Night Force,radiant,1,41,24,561.6,829.8,"[1879746018, 1880007196, 1880011613, 1880066287, 1880979563]",0.9079441541679836,1,1.0
8786687108,9878494,LV United,dire,0,24,42,411.8,527.6,"[1902237853, 1902895053, 1903247233, 1903997264, 1904129499]",0.6079441541679836,1,0.0
8786692968,9315393,The goal of all life is death,radiant,0,7,17,368.4,420.0,"[103354522, 152083285, 227657377, 230617400, 430579976]",0.0,0,0.0
8786692968,10108166,Mideng dreamer,dire,1,17,7,472.4,594.2,"[139031324, 179313961, 191597529, 373667079, 1112797393]",0.0,0,0.0
8786718058,9426115,Dark Rebellion,radiant,1,43,43,598.2,965.8,"[176158708, 183270733, 412910858, 1068676453, 1090568489]",0.9079441541679836,1,1.0
8786718058,9767998,Nova Pulse,dire,0,41,44,511.8,820.4,"[1749630639, 1750248703, 1750435217, 1750577069, 1750916329]",0.6079441541679836,1,0.0
8786733214,9718665,Eye Gaming,radiant,0,30,50,439.8,586.4,"[800862190, 906511622, 1023487276, 1029972951, 1914262504]",0.0,0,0.0
8786733214,10088186,Teiko,dire,1,49,31,552.8,804.4,"[236214375, 878549965, 1591533176, 1771146737, 1906005443]",0.0,0,0.0
8786741092,10108166,Mideng dreamer,radiant,1,33,19,511.0,674.6,"[139031324, 179313961, 191597529, 373667079, 1112797393]",0.9079441541679836,1,1.0
8786741092,9315393,The goal of all life is death,dire,0,16,33,445.4,540.4,"[103354522, 152083285, 227657377, 230617400, 430579976]",0.6079441541679836,1,0.0
8786774264,9425656,LSG,radiant,0,40,35,469.4,719.0,"[397206052, 1621422877, 1621497616, 1621570409, 1622405666]",0.9079441541679836,1,1.0
8786774264,9814269,Riftwalkers,dire,1,34,40,532.0,806.4,"[1902738528, 1902782463, 1902976475, 1903043745, 1903287666]",0.0,0,0.0
8786788444,10088186,Teiko,radiant,1,43,46,557.8,939.0,"[236214375, 878549965, 1591533176, 1771146737, 1906005443]",0.9079441541679836,1,1.0
8786788444,9718665,Eye Gaming,dire,0,45,43,543.2,793.2,"[800862190, 906511622, 1023487276, 1029972951, 1914262504]",0.6079441541679836,1,0.0
8786812458,9885310,Roar,radiant,1,19,12,512.4,602.6,"[135607261, 137895298, 164530809, 165178538, 1101855381]",0.0,0,0.0
8786812458,9885928,Thriving,dire,0,12,19,445.0,551.4,"[128660724, 241107899, 361748943, 435460860, 992662924]",0.0,0,0.0
8786823220,9814269,Riftwalkers,radiant,1,30,27,594.8,797.2,"[1902738528, 1902782463, 1902976475, 1903043745, 1903287666]",0.9079441541679836,1,1.0
8786823220,9425656,LSG,dire,0,27,30,461.8,680.8,"[397206052, 1621422877, 1621497616, 1621570409, 1622405666]",0.879583686600433,2,0.5
8786827560,9247354,Team Falcons,radiant,0,12,42,418.2,513.4,"[10366616, 25907144, 100058342, 183719386, 898455820]",0.0,0,0.0
8786827560,9467224,Aurora Gaming,dire,1,42,12,553.0,697.0,"[124801257, 126842529, 256156323, 301750126, 320219866]",0.0,0,0.0
8786852394,9691942,Nethercore,radiant,0,35,43,487.0,738.6,"[130433320, 800862190, 1029972951, 1591533176, 1914262504]",0.0,0,0.0
8786852394,10095351,BloodyRose,dire,1,43,35,557.0,870.4,"[157998413, 236214375, 878549965, 1023487276, 1695617010]",0.0,0,0.0
8786866910,9895247,Rune Eaters,radiant,1,29,25,597.2,771.2,"[104334048, 234119750, 435139370, 1153798101, 1675517497]",0.0,0,0.0
8786866910,9928636,Team Lynx,dire,0,25,29,528.4,715.2,"[40805086, 148612029, 276449590, 293731272, 1048617659]",0.0,0,0.0
8786873944,9768243,Night Force,radiant,0,23,28,401.0,524.2,"[1879746018, 1880007196, 1880011613, 1880066287, 1880979563]",1.0295836866004329,2,1.0
8786873944,8629005,Flawless Goblins,dire,1,27,24,519.0,667.0,"[928499811, 1185918470, 1200963940, 1227183303, 1228355759]",0.6079441541679836,1,0.0
8786888121,9885928,Thriving,radiant,0,24,27,526.4,694.2,"[128660724, 241107899, 361748943, 435460860, 992662924]",0.6079441541679836,1,0.0
8786888121,9885310,Roar,dire,1,27,24,526.6,756.8,"[135607261, 137895298, 164530809, 165178538, 1101855381]",0.9079441541679836,1,1.0
8786902529,9467224,Aurora Gaming,radiant,1,30,27,554.4,780.6,"[124801257, 126842529, 256156323, 301750126, 320219866]",0.9079441541679836,1,1.0
8786902529,9247354,Team Falcons,dire,0,26,31,495.8,665.0,"[10366616, 25907144, 100058342, 183719386, 898455820]",0.6079441541679836,1,0.0
8786920095,8629005,Flawless Goblins,radiant,0,34,49,480.6,763.8,"[928499811, 1185918470, 1200963940, 1227183303, 1228355759]",0.879583686600433,2,0.5
8786920095,9768243,Night Force,dire,1,49,34,564.2,912.8,"[1879746018, 1880007196, 1880011613, 1880066287, 1880979563]",1.015888308335967,3,0.6666666666666666
8786925835,10095351,BloodyRose,radiant,1,33,19,502.4,701.0,"[157998413, 236214375, 878549965, 1023487276, 1695617010]",0.9079441541679836,1,1.0
8786925835,9691942,Nethercore,dire,0,18,33,385.6,465.6,"[130433320, 800862190, 1029972951, 1591533176, 1914262504]",0.6079441541679836,1,0.0
8786958322,9928636,Team Lynx,radiant,1,45,14,572.6,770.6,"[40805086, 148612029, 276449590, 293731272, 1048617659]",0.6079441541679836,1,0.0
8786958322,9895247,Rune Eaters,dire,0,14,45,445.8,487.0,"[104334048, 234119750, 435139370, 1153798101, 1675517497]",0.9079441541679836,1,1.0
8786985347,9768243,Night Force,radiant,0,24,28,436.6,637.0,"[1879746018, 1880007196, 1880011613, 1880066287, 1880979563]",1.1078313737302299,4,0.75
8786985347,8629005,Flawless Goblins,dire,1,28,25,525.2,753.8,"[928499811, 1185918470, 1200963940, 1227183303, 1228355759]",0.9158883083359671,3,0.3333333333333333
8786985982,10128850,Kiba Arms,radiant,0,33,41,456.8,647.2,"[130433320, 297111049, 339941742, 1591533176, 1914262504]",0.0,0,0.0
8786985982,9593609,Nethercore,dire,1,41,33,583.0,852.0,"[236214375, 1029972951, 1246531472, 1695617010, 1712916118]",0.0,0,0.0
8787002836,10108166,Mideng dreamer,radiant,1,30,17,469.2,651.4,"[139031324, 179313961, 191597529, 373667079, 1112797393]",1.0295836866004329,2,1.0
8787002836,9885310,Roar,dire,0,17,31,392.4,512.8,"[135607261, 137895298, 164530809, 165178538, 1101855381]",1.0295836866004329,2,1.0
8787032532,9928636,Team Lynx,radiant,1,28,11,538.8,640.2,"[40805086, 148612029, 276449590, 293731272, 1048617659]",0.879583686600433,2,0.5
8787032532,9895247,Rune Eaters,dire,0,11,28,414.4,506.2,"[104334048, 234119750, 435139370, 1153798101, 1675517497]",0.879583686600433,2,0.5
8787054928,8255888,BetBoom Team,radiant,1,42,19,620.8,850.8,"[165564598, 172099728, 196878136, 317880638, 480412663]",0.0,0,0.0
8787054928,9467224,Aurora Gaming,dire,0,19,42,505.4,678.6,"[124801257, 126842529, 256156323, 301750126, 320219866]",1.0295836866004329,2,1.0
8787059435,9593609,Nethercore,radiant,1,38,31,542.0,776.0,"[236214375, 1029972951, 1246531472, 1695617010, 1712916118]",0.9079441541679836,1,1.0
8787059435,10128850,Kiba Arms,dire,0,31,39,403.2,493.6,"[130433320, 297111049, 339941742, 1591533176, 1914262504]",0.6079441541679836,1,0.0
8787101805,7574873,WARRIORS OF ANGELI,radiant,0,6,50,275.8,331.8,"[299684897, 910650066, 1011788948, 1059448007, 1255463100]",0.0,0,0.0
8787101805,9878091,Tabakerka,dire,1,50,6,487.0,564.6,"[1100410934, 1237655567, 1674814676, 1684227676, 1901956790]",0.0,0,0.0
8787103217,10068848,NotChainedAnymore,radiant,0,54,62,550.6,911.8,"[401783259, 911497590, 1164530934, 1356477602, 1588360388]",0.0,0,0.0
8787103217,9938134,Mellstroy Team,dire,1,62,57,533.6,848.8,"[822126700, 907488123, 1201526302, 1477866898, 1761822380]",0.0,0,0.0
8787110874,10122751,Team WL,radiant,0,30,37,351.0,446.8,"[1109074446, 1139947395, 1190513392, 1608039572, 1845098523]",0.0,0,0.0
8787110874,10122742,BLACK_TERIC,dire,1,35,32,456.0,664.2,"[765506644, 802071176, 1168820938, 1467563224, 1548318766]",0.0,0,0.0
8787113950,10108695,Жирные Дети в Депрессии,radiant,1,31,31,499.0,671.2,"[934226621, 1038002385, 1190255390, 1419845583, 1877080548]",0.0,0,0.0
8787113950,9409580,james&jeremy,dire,0,31,32,427.4,533.8,"[903970158, 1128257501, 1128517675, 1129897627, 1207551738]",0.0,0,0.0
8787118133,9829263,5Prisoners,radiant,0,20,39,340.6,443.4,"[184794608, 1056223334, 1213834511, 1658979535, 1679311444]",0.0,0,0.0
8787118133,10047486,Dan+4,dire,1,39,20,538.6,729.4,"[771828773, 832070617, 1561853228, 1597478818, 1678963531]",0.0,0,0.0
8787185127,9467224,Aurora Gaming,radiant,0,4,28,433.4,496.4,"[124801257, 126842529, 256156323, 301750126, 320219866]",1.015888308335967,3,0.6666666666666666
8787185127,8255888,BetBoom Team,dire,1,28,5,528.8,660.8,"[165564598, 172099728, 196878136, 317880638, 480412663]",0.9079441541679836,1,1.0
8787205517,9729342,Elite Eclipse,radiant,1,58,51,635.6,914.0,"[297111049, 800862190, 1171975340, 1291449666, 1771146737]",0.0,0,0.0
8787205517,10115965,BloodyRose,dire,0,50,59,638.0,877.0,"[157998413, 236214375, 878549965, 1246531472, 1906005443]",0.0,0,0.0
8787228394,10108947,SouthAmericaRejects,radiant,1,35,13,507.6,637.8,"[157989498, 252737052, 352545711, 363758022, 1031547092]",0.0,0,0.0
8787228394,8680909,ALIS VENTORUS,dire,0,13,35,356.4,416.6,"[156485213, 187123736, 196481318, 349569834, 1114792376]",0.0,0,0.0
8787240152,10108233,ShIShUlI,radiant,1,31,7,476.0,633.6,"[28374516, 1176145421, 1217061603, 1583300284, 1676215765]",0.0,0,0.0
8787240152,10047486,Dan+4,dire,0,6,31,321.8,412.6,"[771828773, 832070617, 1561853228, 1597478818, 1678963531]",0.9079441541679836,1,1.0
8787244470,8262856,,radiant,0,21,57,352.0,441.6,"[199007937, 246591695, 462287602, 843928956, 1610965733]",0.0,0,0.0
8787244470,6410706,STARIY TINKER X2,dire,1,57,22,543.4,698.2,"[84425496, 1721136518, 1734606950, 1855759022, 1892899806]",0.0,0,0.0
8787244920,10108230,Vodka,radiant,1,36,7,499.8,603.2,"[417429939, 805943886, 879835905, 1068405226, 1698976044]",0.0,0,0.0
8787244920,10122742,BLACK_TERIC,dire,0,6,36,246.2,291.8,"[765506644, 802071176, 1168820938, 1467563224, 1548318766]",0.9079441541679836,1,1.0
8787247981,10008546,Team SuperNova,radiant,0,5,35,263.8,290.6,"[1116915549, 1218783836, 1473893800, 1747837619, 1916226597]",0.0,0,0.0
8787247981,9460620,Falanga Gaming,dire,1,35,6,505.4,587.2,"[182252335, 349179110, 881710243, 1187822061, 1234607002]",0.0,0,0.0
8787248346,10040534,Greyhound Team,radiant,1,65,50,568.8,919.6,"[165986663, 203539581, 332115891, 386379737, 793373771]",0.0,0,0.0
8787248346,10108695,Жирные Дети в Депрессии,dire,0,50,65,496.8,801.0,"[934226621, 1038002385, 1190255390, 1419845583, 1877080548]",0.9079441541679836,1,1.0
8787249326,10116420,22312,radiant,1,38,16,478.4,619.6,"[275467902, 834822170, 994927266, 1808803800, 1895435519]",0.0,0,0.0
8787249326,10075147,holesterin team,dire,0,15,39,322.2,353.4,"[821441738, 1137811176, 1211883286, 1517072924, 1861319925]",0.0,0,0.0
8787299097,8255888,BetBoom Team,radiant,1,41,20,573.8,839.6,"[165564598, 172099728, 196878136, 317880638, 480412663]",1.0295836866004329,2,1.0
8787299097,9467224,Aurora Gaming,dire,0,20,41,439.6,553.4,"[124801257, 126842529, 256156323, 301750126, 320219866]",1.03283137373023,4,0.5
8787325574,10108947,SouthAmericaRejects,radiant,1,36,12,527.4,683.2,"[157989498, 252737052, 352545711, 363758022, 1031547092]",0.9079441541679836,1,1.0
8787325574,8680909,ALIS VENTORUS,dire,0,12,36,407.4,449.6,"[156485213, 187123736, 196481318, 349569834, 1114792376]",0.6079441541679836,1,0.0
8787371252,10115965,BloodyRose,radiant,0,40,56,493.4,682.8,"[157998413, 236214375, 878549965, 1246531472, 1906005443]",0.6079441541679836,1,0.0
8787371252,9729342,Elite Eclipse,dire,1,56,42,619.8,984.8,"[297111049, 800862190, 1171975340, 1291449666, 1771146737]",0.9079441541679836,1,1.0
8787376047,10040534,Greyhound Team,radiant,1,54,24,515.4,734.6,"[165986663, 203539581, 332115891, 386379737, 793373771]",0.9079441541679836,1,1.0
